City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Odweyne,SO,2021-03-31 20:00:23,9.4092,45.064,75.58,23,100,8.57
213,Thompson,CA,2021-03-31 20:00:16,55.7435,-97.8558,23.0,46,40,18.41
214,Kaitangata,NZ,2021-03-31 20:00:24,-46.2817,169.8464,46.0,83,8,4.0
215,Stornoway,GB,2021-03-31 20:00:24,58.2093,-6.3865,41.0,70,20,17.27
216,Svetlaya,RU,2021-03-31 20:00:25,46.5389,138.3297,31.21,89,9,5.06
217,Chekhov,RU,2021-03-31 20:00:25,55.1431,37.4711,39.0,99,100,11.1
218,Bubaque,GW,2021-03-31 19:56:50,11.2833,-15.8333,76.68,70,0,20.22
219,Hanna,CA,2021-03-31 20:00:26,51.6334,-111.9018,53.6,28,53,5.75
220,Gerash,IR,2021-03-31 20:00:26,27.6652,54.1371,75.2,29,0,2.71
221,Syracuse,IT,2021-03-31 19:57:58,37.0881,15.2792,57.2,77,75,1.14
222,San Patricio,US,2021-03-31 20:00:27,28.017,-97.5169,80.6,69,90,23.02
223,Kysyl-Syr,RU,2021-03-31 20:00:27,63.8986,122.7617,9.43,95,100,5.19
224,Shelburne,CA,2021-03-31 20:00:28,44.0787,-80.2041,46.99,62,57,14.94
225,Salinopolis,BR,2021-03-31 20:00:28,-0.6136,-47.3561,79.39,84,100,6.87
226,Esperance,AU,2021-03-31 20:00:29,-33.8667,121.9,62.6,94,18,9.22
227,Vila Franca Do Campo,PT,2021-03-31 20:00:29,37.7167,-25.4333,60.8,88,20,6.91
228,Tynda,RU,2021-03-31 20:00:30,55.1667,124.7167,21.79,90,97,3.69
229,Ketou,BJ,2021-03-31 20:00:30,7.3633,2.5998,83.19,65,100,9.98
230,Russell,US,2021-03-31 20:00:31,32.3502,-85.1999,73.99,88,90,14.97
231,Toppenish,US,2021-03-31 20:00:31,46.3774,-120.3087,59.0,38,22,4.72
232,Hervey Bay,AU,2021-03-31 20:00:31,-25.2986,152.8535,66.0,82,90,8.05
233,Bengkulu,ID,2021-03-31 20:00:32,-3.8004,102.2655,76.96,75,100,13.76
234,Bukama,CD,2021-03-31 20:00:32,-9.2,25.85,69.76,94,98,1.1
235,Faanui,PF,2021-03-31 20:00:33,-16.4833,-151.75,81.66,75,43,8.1
236,Kendari,ID,2021-03-31 20:00:33,-3.945,122.4989,75.06,95,100,3.38
237,Sao Filipe,CV,2021-03-31 20:00:34,14.8961,-24.4956,70.39,79,2,9.66
238,Okhotsk,RU,2021-03-31 20:00:34,59.3833,143.3,8.92,77,9,12.12
239,Erenhot,CN,2021-03-31 20:00:35,43.6475,111.9767,41.29,51,100,6.62
240,Temir,KZ,2021-03-31 20:00:35,49.1414,57.13,8.19,99,75,4.23
241,Tiznit,MA,2021-03-31 20:00:36,29.5833,-9.5,63.36,51,0,1.28
242,Torrevieja,ES,2021-03-31 20:00:36,37.9787,-0.6822,59.0,70,4,13.0
243,Lower Hutt,NZ,2021-03-31 20:00:37,-41.2167,174.9167,57.2,88,75,27.63
244,Ambilobe,MG,2021-03-31 20:00:37,-13.2,49.05,74.43,95,84,2.84
245,Crotone,IT,2021-03-31 20:00:37,39.0851,17.1178,55.6,67,9,6.44
246,Gull Lake,CA,2021-03-31 20:00:38,50.1001,-108.4847,39.2,52,1,12.66
247,Pisco,PE,2021-03-31 20:00:38,-13.7,-76.2167,77.0,61,0,13.8
248,Lagoa,PT,2021-03-31 20:00:39,39.05,-27.9833,56.84,74,27,13.18
249,Ulaanbaatar,MN,2021-03-31 20:00:39,47.9077,106.8832,41.0,33,75,20.13
250,Gazanjyk,TM,2021-03-31 20:00:40,39.2446,55.5154,54.5,37,87,18.01
251,Kamaishi,JP,2021-03-31 20:00:40,39.2667,141.8833,42.6,82,3,6.31
252,Novikovo,RU,2021-03-31 20:00:41,51.1537,37.8879,44.06,76,100,9.22
253,Ginir,ET,2021-03-31 20:00:41,7.1333,40.7,60.6,65,100,4.59
254,Bilma,NE,2021-03-31 20:00:42,18.6853,12.9164,74.41,10,0,4.47
255,Itarema,BR,2021-03-31 20:00:42,-2.9248,-39.9167,77.86,88,100,8.79
256,Hambantota,LK,2021-03-31 19:56:30,6.1241,81.1185,79.7,84,97,11.83
257,Brae,GB,2021-03-31 19:56:54,60.3964,-1.353,39.2,70,90,6.91
258,Basco,PH,2021-03-31 20:00:43,20.4487,121.9702,79.65,81,3,7.2
259,Manado,ID,2021-03-31 19:55:59,1.487,124.8455,77.09,87,97,5.32
260,Chuy,UY,2021-03-31 20:00:43,-33.6971,-53.4616,68.59,68,32,9.42
261,Lebu,CL,2021-03-31 20:00:44,-37.6167,-73.65,60.6,82,95,17.31
262,Shingu,JP,2021-03-31 20:00:44,33.7333,135.9833,53.92,80,100,4.7
263,Chimbote,PE,2021-03-31 20:00:45,-9.0853,-78.5783,74.19,74,13,11.97
264,Galveston,US,2021-03-31 19:56:35,29.3669,-94.9669,78.8,73,40,12.66
265,Den Helder,NL,2021-03-31 20:00:45,52.9599,4.7593,53.01,76,90,3.44
266,Norman Wells,CA,2021-03-31 20:00:46,65.282,-126.8329,8.6,66,75,2.3
267,Narsaq,GL,2021-03-31 20:00:46,60.9167,-46.05,32.0,86,90,14.97
268,Sabang,ID,2021-03-31 20:00:47,5.8933,95.3214,81.9,71,99,26.15
269,Ploemeur,FR,2021-03-31 20:00:47,47.7333,-3.4333,57.99,62,0,8.05
270,Yar-Sale,RU,2021-03-31 20:00:47,66.8333,70.8333,9.19,93,100,21.61
271,Coihaique,CL,2021-03-31 20:00:48,-45.5752,-72.0662,53.6,62,90,4.61
272,Doha,QA,2021-03-31 20:00:48,25.2867,51.5333,75.99,64,0,2.3
273,Chokurdakh,RU,2021-03-31 20:00:49,70.6333,147.9167,-16.51,100,99,4.16
274,Behshahr,IR,2021-03-31 20:00:49,36.6923,53.5526,51.22,86,100,1.34
275,Mhlume,SZ,2021-03-31 20:00:50,-26.0333,31.85,69.8,73,100,5.75
276,Worgl,AT,2021-03-31 20:00:50,47.4833,12.0667,55.99,42,13,4.07
277,Inta,RU,2021-03-31 20:00:51,66.0317,60.1659,26.82,88,100,6.49
278,Arlit,NE,2021-03-31 20:00:51,18.7369,7.3853,77.59,9,0,12.57
279,Sainte-Rose,GP,2021-03-31 19:58:06,16.3324,-61.6979,77.0,83,75,18.41
280,Touros,BR,2021-03-31 19:56:21,-5.1989,-35.4608,84.2,74,40,12.66
281,Saint-Augustin,CA,2021-03-31 20:00:52,51.226,-58.6502,30.13,77,70,8.84
282,Roebourne,AU,2021-03-31 20:00:52,-20.7833,117.1333,80.38,41,0,5.61
283,Komsomolskiy,UZ,2021-03-31 19:55:56,40.4272,71.7189,48.2,53,90,4.61
284,Ulladulla,AU,2021-03-31 20:00:53,-35.35,150.4667,55.99,100,46,8.05
285,Matay,EG,2021-03-31 20:00:53,28.419,30.7792,60.76,40,8,8.93
286,Kawalu,ID,2021-03-31 20:00:54,-7.3817,108.2082,72.27,93,100,0.85
287,Broken Hill,AU,2021-03-31 20:00:54,-31.95,141.4333,62.6,39,0,6.91
288,Trondheim,NO,2021-03-31 19:59:43,63.4305,10.3951,39.0,87,73,8.39
289,Manokwari,ID,2021-03-31 20:00:54,-0.8667,134.0833,78.28,78,89,2.37
290,Si Bun Ruang,TH,2021-03-31 20:00:55,16.9667,102.2833,83.23,43,53,4.65
291,Carta,RO,2021-03-31 20:00:55,46.5333,25.75,50.0,41,100,3.02
292,Maunabo,PR,2021-03-31 20:00:56,18.0072,-65.8993,84.0,77,7,13.0
